Параметр,Размерность,Размер Байт,Тип данных,OffSet VarID5
Метка начала кадра (0x0FF1), -,2,целое,686
Идентификационный номер КА SatID, -,2,целое,688
Определитель кадра Loc ID, -,2,целое,690
Номер кадра, -,2,целое,692
Время записи (генерации) кадра , -,4,целое,694
Версия  ТМИ СЭС 3 (PBM часть 2), -,2,uint16_t,698
Напряжение PBM1 ветвь 1 аккумулятор 1,мВ,2,uint16_t,700
Напряжение PBM1 ветвь 1 аккумулятор 2,мВ,2,uint16_t,702
Напряжение PBM1 ветвь 2 аккумулятор 1,мВ,2,uint16_t,704
Напряжение PBM1 ветвь 2 аккумулятор 2,мВ,2,uint16_t,706
Напряжение PBM2 ветвь 1 аккумулятор 1,мВ,2,uint16_t,708
Напряжение PBM2 ветвь 1 аккумулятор 2,мВ,2,uint16_t,710
Напряжение PBM2 ветвь 2 аккумулятор 1,мВ,2,uint16_t,712
Напряжение PBM2 ветвь 2 аккумулятор 2,мВ,2,uint16_t,714
Напряжение PBM3 ветвь 1 аккумулятор 1,мВ,2,uint16_t,716
Напряжение PBM3 ветвь 1 аккумулятор 2,мВ,2,uint16_t,718
Напряжение PBM3 ветвь 2 аккумулятор 1,мВ,2,uint16_t,720
Напряжение PBM3 ветвь 2 аккумулятор 2,мВ,2,uint16_t,722
Напряжение PBM4 ветвь 1 аккумулятор 1,мВ,2,uint16_t,724
Напряжение PBM4 ветвь 1 аккумулятор 2,мВ,2,uint16_t,726
Напряжение PBM4 ветвь 2 аккумулятор 1,мВ,2,uint16_t,728
Напряжение PBM4 ветвь 2 аккумулятор 2,мВ,2,uint16_t,730
Макс. ток PBM1 ветвь 1,мА,2,int16_t,732
Мин. ток PBM1 ветвь 1,мА,2,int16_t,734
Макс. ток PBM1 ветвь 2,мА,2,int16_t,736
Мин. ток PBM1 ветвь 2,мА,2,int16_t,738
Макс. ток PBM2 ветвь 1,мА,2,int16_t,740
Мин. ток PBM2 ветвь 1,мА,2,int16_t,742
Макс. ток PBM2 ветвь 2,мА,2,int16_t,744
Мин. ток PBM2 ветвь 2,мА,2,int16_t,746
Макс. ток PBM3 ветвь 1,мА,2,int16_t,748
Мин. ток PBM3 ветвь 1,мА,2,int16_t,750
Макс. ток PBM3 ветвь 2,мА,2,int16_t,752
Мин. ток PBM3 ветвь 2,мА,2,int16_t,754
Макс. ток PBM4 ветвь 1,мА,2,int16_t,756
Мин. ток PBM4 ветвь 1,мА,2,int16_t,758
Макс. ток PBM4 ветвь 2,мА,2,int16_t,760
Мин. ток PBM4 ветвь 2,мА,2,int16_t,762
Мин. напряжение бат. PBM1 вевть 1,мВ,2,uint16_t,764
Мин. напряжение бат. PBM1 ветвь 2 ,мВ,2,uint16_t,766
Мин. напряжение бат. PBM2 ветвь 1 ,мВ,2,uint16_t,768
Мин. напряжение бат. PBM2 ветвь 2 ,мВ,2,uint16_t,770
Мин. напряжение бат. PBM3 ветвь 1 ,мВ,2,uint16_t,772
Мин. напряжение бат. PBM3 ветвь 2 ,мВ,2,uint16_t,774
Мин. напряжение бат. PBM4 ветвь 1 ,мВ,2,uint16_t,776
Мин. напряжение бат. PBM4 ветвь 2 ,мВ,2,uint16_t,778
Ток нагревателя PBM1 вевть 1,мА,2,int16_t,780
Ток нагревателя PBM1 ветвь 2 ,мА,2,int16_t,782
Ток нагревателя  PBM2 ветвь 1 ,мА,2,int16_t,784
Ток нагревателя  PBM2 ветвь 2 ,мА,2,int16_t,786
Ток нагревателя  PBM3 ветвь 1 ,мА,2,int16_t,788
Ток нагревателя  PBM3 ветвь 2 ,мА,2,int16_t,790
Ток нагревателя  PBM4 ветвь 1 ,мА,2,int16_t,792
Ток нагревателя  PBM4 ветвь 2 ,мА,2,int16_t,794
Возраст PBM1 ветвь 1 ,,1,uint8_t,796
Возраст PBM1 ветвь 2 ,,1,uint8_t,797
Возраст PBM2 ветвь 1 ,,1,uint8_t,798
Возраст PBM2 ветвь 2 ,,1,uint8_t,799
Возраст PBM3 ветвь 1 ,,1,uint8_t,800
Возраст PBM3 ветвь 2 ,,1,uint8_t,801
Возраст PBM4 ветвь 1 ,,1,uint8_t,802
Возраст PBM4 ветвь 2 ,,1,uint8_t,803
Счетчик циклов PBM1 ветвь 1 ,,1,uint8_t,804
Счетчик циклов PBM1 ветвь 2 ,,1,uint8_t,805
Счетчик циклов PBM2 ветвь 1 ,,1,uint8_t,806
Счетчик циклов PBM2 ветвь 2 ,,1,uint8_t,807
Счетчик циклов PBM3 ветвь 1 ,,1,uint8_t,808
Счетчик циклов PBM3 ветвь 2 ,,1,uint8_t,809
Счетчик циклов PBM4 ветвь 1 ,,1,uint8_t,810
Счетчик циклов PBM4 ветвь 2 ,,1,uint8_t,811
CRC ТМИ3, -,2,uint16_t,812
