Параметр,Размерность,Размер Байт,Тип данных
Метка начала кадра (0x0FF1), -,2,hex
Определитель кадра, -,2,uint32_t
Номер кадра, -,2,uint32_t
Время записи (генерации) кадра , -,4,uint32_t
Время синхронизации БШВ активного и дежурного БРК,"дата, время",3,uint32_t
Номер активного БРК, -,1,uint32_t
Количество перезапусков активного БРК, -,4,uint32_t
"Номер режима, в котором находится СмКА ", -,1,uint32_t
Мощность передатчика активного БРК,Вт,1,int32_t
Температура МК активного БРК,°C,1,int32_t
Температура радиомодема активного БРК,°C,1,int32_t
"Статус модуля активного БРК, битовая маска", -,2,hex
Напряжение смещения на усилителе мощности активного БРК,В,2,uint32_t
Уровень последнего принятого сигнала (RSSI) актив. БРК,дБм,1,int32_t
Отн. сигнал/шум последнего принят. сигнала (SNR) актив. БРК,дБ,1,int32_t
Неответы СЭС, -,4,uint32_t
Неответы СОП1, -,4,uint32_t
Неответы СОП2, -,4,uint32_t
Неответы МС, -,4,uint32_t
Дополнительные данные активного БРК, -,8,hex
Количество перезапусков дежурного БРК, -,4,uint32_t
Температура МК дежурного БРК,°C,1,int32_t
Температура радиомодема дежурного БРК,°C,1,int32_t
"Статус модуля дежурного БРК, битовая маска", -,2,hex
Уровень последнего принятого сигнала (RSSI) деж. БРК,дБм,1,int32_t
Отн. сигнал/шум последнего принят. сигнала (SNR) деж. БРК,дБ,1,int32_t
Дополнительные данные дежурного БРК, -,8,hex
"Операции КА запрещенные с НКУ, битовая маска", -,1,hex
Статус МС,Битовая маска,2,hex
Статус ПН1.1A,Битовая маска,2,hex
Статус ПН1.1Б,Битовая маска,2,hex
Статус ПН1.2,Битовая маска,2,hex
Статус ПН2.0,Битовая маска,2,hex
Статус Декор,Битовая маска,2,hex
Напряжение МС,В/24,1,int32_t
Ток МС,A/24,1,int32_t
Напряжение ПН1.1А,В/24,1,int32_t
Ток ПН1.1А,A/24,1,int32_t
Напряжение ПН1.1Б,В/24,1,int32_t
Ток ПН1.1Б,A/24,1,int32_t
Напряжение ПН1.2,В/24,1,int32_t
Ток ПН1.2,A/24,1,int32_t
Напряжение ПН2.0,В/24,1,int32_t
Ток ПН2.0,A/24,1,int32_t
Напряжение Декор1,В/24,1,int32_t
Ток Декор1,A/24,1,int32_t
Напряжение Декор2,В/24,1,int32_t
Ток Декор2,A/24,1,int32_t
Температура МС,°С,1,int32_t
Температура ПН1.1А,°С,1,int32_t
Температура ПН1.1Б,°С,1,int32_t
Температура ПН1.2,°С,1,int32_t
Температура ПН2.0,°С,1,int32_t
Статус пит. ПН,Битовая маска,1,hex
Память ИСС,%,1,uint32_t
Память Декор,%,1,uint32_t
Счетчик включений,Шт.,1,uint32_t
Включить/выключить питание ПН (копия для ТМИ), - ,1,hex
Дополнительные данные МС - величина 1,Битовая маска,2,hex
Указатель чтения памяти ПН ИСС,Кадр,2,int32_t
Указатель записи памяти ПН ИСС,Кадр,2,int32_t
Полный объем памяти ПН ИСС,Кадр,2,int32_t
Указатель записи памяти ПН ДеКоР,Кадр,2,int32_t
Указатель чтения памяти ПН ДеКоР,Кадр,2,int32_t
Полный объем памяти ПН ДеКоР,Кадр,2,int32_t
Дополнительные данные МС - величина 2, -,5,hex
Контрольная сумма пакета ТМИ, -,2,uint32_t
